Client Project,Service Project,Source Location,Endpoint Address,Binding,Binding Configuration,Contract,Name,Is Secured,Query Link(s),Additional Source Files,Notes
"EAU","EAU","$/LegApps/EAU/NewDev/EAU/EAU.Web/Web.config","https://localhost:44378/EauIdentity.svc","basicHttpBinding","BasicHttpsBinding_IEauIdentity","EauIdentitySvc.IEauIdentity","BasicHttpsBinding_IEauIdentity","Yes","https://oregonlegislature.visualstudio.com/LegApps/_search?action=contents&text=%3Cclient%3E%20path%3A%24/LegApps/EAU&type=code&pageSize=25&filters=ProjectFilters%7BLegApps%7D&result=DefaultCollection/LegApps/%24/LegApps/1532/%24/LegApps/EAU/NewDev/EAU/EAU.Web/Web.config","$/LegApps/EAU/NewDev/EAU/EAU.Web/Web.config",""
"EAU","EAU","$/LegApps/EAU/NewDev/EAU/EAU.Web/Web.config","http://localhost:49809/EauIdentity.svc","basicHttpBinding","BasicHttpBinding_IEauIdentity","EauIdentitySvc.IEauIdentity","BasicHttpBinding_IEauIdentity","No","https://oregonlegislature.visualstudio.com/LegApps/_search?action=contents&text=%3Cclient%3E%20path%3A%24/LegApps/EAU&type=code&pageSize=25&filters=ProjectFilters%7BLegApps%7D&result=DefaultCollection/LegApps/%24/LegApps/1532/%24/LegApps/EAU/NewDev/EAU/EAU.Web/Web.config","$/LegApps/EAU/NewDev/EAU/EAU.Web/Web.config",""
